drug_id,drug_name,disease_id,disease_name
C043211,carvedilol,D006977,"Hypertension, Renal"
C043211,carvedilol,D007022,Hypotension
C043211,carvedilol,D007024,"Hypotension, Orthostatic"
C043211,carvedilol,D007249,Inflammation
C043211,carvedilol,D007333,Insulin Resistance
C043211,carvedilol,D007674,Kidney Diseases
C043211,carvedilol,D007676,"Kidney Failure, Chronic"
C043211,carvedilol,D008569,Memory Disorders
C043211,carvedilol,D009069,Movement Disorders
C043211,carvedilol,D009202,Cardiomyopathies
C043211,carvedilol,D009203,Myocardial Infarction
C043211,carvedilol,D009205,Myocarditis
C043211,carvedilol,D009336,Necrosis
C043211,carvedilol,D011183,Postoperative Complications
C043211,carvedilol,D011507,Proteinuria
C043211,carvedilol,D011537,Pruritus
C043211,carvedilol,D011782,Quadriplegia
C043211,carvedilol,D012206,Rhabdomyolysis
C043211,carvedilol,D012893,Sleep Wake Disorders
C043211,carvedilol,D013262,Stevens-Johnson Syndrome
C043211,carvedilol,D013610,Tachycardia
C043211,carvedilol,D014693,Ventricular Fibrillation
C043211,carvedilol,D015427,Reperfusion Injury
C043211,carvedilol,D015428,Myocardial Reperfusion Injury
C043211,carvedilol,D015431,Weight Loss
C043211,carvedilol,D016584,Panic Disorder
C043211,carvedilol,D016757,"Death, Sudden, Cardiac"
C043211,carvedilol,D017180,"Tachycardia, Ventricular"
C043211,carvedilol,D017202,Myocardial Ischemia
C043211,carvedilol,D017379,"Hypertrophy, Left Ventricular"
C043211,carvedilol,D018366,"Vasculitis, Leukocytoclastic, Cutaneous"
C043211,carvedilol,D018487,"Ventricular Dysfunction, Left"
C043211,carvedilol,D018754,Ventricular Dysfunction
C043211,carvedilol,D019970,Cocaine-Related Disorders
C043211,carvedilol,D020244,"Infarction, Middle Cerebral Artery"
C043211,carvedilol,D020257,Ventricular Remodeling
C043211,carvedilol,D020521,Stroke
C043211,carvedilol,D023921,Coronary Stenosis
C043211,carvedilol,D051437,Renal Insufficiency
C043211,carvedilol,D054058,Acute Coronary Syndrome
C043211,carvedilol,D054537,Atrioventricular Block
C043211,carvedilol,D056486,Chemical and Drug Induced Liver Injury
C043211,carvedilol,D058186,Acute Kidney Injury
C043211,carvedilol,D062787,Drug Overdose
C043211,carvedilol,D064420,Drug-Related Side Effects and Adverse Reactions
C043211,carvedilol,D066126,Cardiotoxicity
C044946,benazepril,D000419,Albuminuria
C044946,benazepril,D000799,Angioedema
C044946,benazepril,D001281,Atrial Fibrillation
C044946,benazepril,D002277,Carcinoma
C044946,benazepril,D002311,"Cardiomyopathy, Dilated"
C044946,benazepril,D003371,Cough
C044946,benazepril,D003928,Diabetic Nephropathies
C044946,benazepril,D004719,Endomyocardial Fibrosis
C044946,benazepril,D005355,Fibrosis
C044946,benazepril,D005921,Glomerulonephritis
C044946,benazepril,D005923,"Glomerulosclerosis, Focal Segmental"
C044946,benazepril,D006333,Heart Failure
C044946,benazepril,D006505,Hepatitis
C044946,benazepril,D006943,Hyperglycemia
C044946,benazepril,D006946,Hyperinsulinism
C044946,benazepril,D006973,Hypertension
C044946,benazepril,D006977,"Hypertension, Renal"
C044946,benazepril,D006984,Hypertrophy
C044946,benazepril,D007333,Insulin Resistance
C044946,benazepril,D007410,Intestinal Diseases
C044946,benazepril,D007674,Kidney Diseases
C044946,benazepril,D007676,"Kidney Failure, Chronic"
C044946,benazepril,D009374,"Neoplasms, Experimental"
C044946,benazepril,D009389,"Neovascularization, Pathologic"
C044946,benazepril,D009400,Nephrosclerosis
C044946,benazepril,D009404,Nephrotic Syndrome
C044946,benazepril,D011507,Proteinuria
C044946,benazepril,D012206,Rhabdomyolysis
C044946,benazepril,D013262,Stevens-Johnson Syndrome
C044946,benazepril,D014511,Uremia
C044946,benazepril,D015428,Myocardial Reperfusion Injury
C044946,benazepril,D015431,Weight Loss
C044946,benazepril,D017202,Myocardial Ischemia
C044946,benazepril,D017379,"Hypertrophy, Left Ventricular"
C044946,benazepril,D018149,Glucose Intolerance
C044946,benazepril,D018487,"Ventricular Dysfunction, Left"
C044946,benazepril,D020257,Ventricular Remodeling
C044946,benazepril,D024821,Metabolic Syndrome X
C044946,benazepril,D050197,Atherosclerosis
C044946,benazepril,D051437,Renal Insufficiency
C044946,benazepril,D054058,Acute Coronary Syndrome
C044946,benazepril,D058186,Acute Kidney Injury
C045463,leflunomide,D000015,"Abnormalities, Multiple"
C045463,leflunomide,D001168,Arthritis
C045463,leflunomide,D001169,"Arthritis, Experimental"
C045463,leflunomide,D001172,"Arthritis, Rheumatoid"
C045463,leflunomide,D002972,Cleft Palate
C045463,leflunomide,D003967,Diarrhea
C045463,leflunomide,D004892,Erythema Multiforme
C045463,leflunomide,D005234,Fatty Liver
C045463,leflunomide,D006345,"Heart Septal Defects, Ventricular"
C045463,leflunomide,D006417,Hematuria
C045463,leflunomide,D006973,Hypertension
C045463,leflunomide,D007970,Leukopenia
C045463,leflunomide,D008103,Liver Cirrhosis
C045463,leflunomide,D009395,"Nephritis, Interstitial"
C045463,leflunomide,D009436,Neural Tube Defects
C045463,leflunomide,D010198,Pancytopenia
C045463,leflunomide,D010523,Peripheral Nervous System Diseases
C045463,leflunomide,D011115,Polyneuropathies
C045463,leflunomide,D013262,Stevens-Johnson Syndrome
C045463,leflunomide,D014657,Vasculitis
C045463,leflunomide,D017880,"Limb Deformities, Congenital"
C045463,leflunomide,D019465,Craniofacial Abnormalities
C045463,leflunomide,D056486,Chemical and Drug Induced Liver Injury
C047781,lamotrigine,D001259,Ataxia
C047781,lamotrigine,D001416,Back Pain
C047781,lamotrigine,D001480,Basal Ganglia Diseases
C047781,lamotrigine,D001714,Bipolar Disorder
C047781,lamotrigine,D001778,Blood Coagulation Disorders
C047781,lamotrigine,D002653,Child Behavior Disorders
C047781,lamotrigine,D002819,Chorea
C047781,lamotrigine,D003072,Cognition Disorders
C047781,lamotrigine,D003693,Delirium
C047781,lamotrigine,D003866,Depressive Disorder
C047781,lamotrigine,D003875,Drug Eruptions
C047781,lamotrigine,D004172,Diplopia
C047781,lamotrigine,D004211,Disseminated Intravascular Coagulation
C047781,lamotrigine,D004244,Dizziness
C047781,lamotrigine,D004342,Drug Hypersensitivity
C047781,lamotrigine,D004421,Dystonia
C047781,lamotrigine,D004487,Edema
C047781,lamotrigine,D004802,Eosinophilia
C047781,lamotrigine,D004827,Epilepsy
C047781,lamotrigine,D004829,"Epilepsy, Generalized"
C047781,lamotrigine,D004830,"Epilepsy, Tonic-Clonic"
C047781,lamotrigine,D004831,"Epilepsies, Myoclonic"
C047781,lamotrigine,D004832,"Epilepsy, Absence"
C047781,lamotrigine,D005076,Exanthema
C047781,lamotrigine,D005221,Fatigue
C047781,lamotrigine,D005334,Fever
C047781,lamotrigine,D005767,Gastrointestinal Diseases
C047781,lamotrigine,D006212,Hallucinations
C047781,lamotrigine,D006261,Headache
C047781,lamotrigine,D006323,Heart Arrest
C047781,lamotrigine,D006529,Hepatomegaly
C047781,lamotrigine,D006930,Hyperalgesia
C047781,lamotrigine,D006948,Hyperkinesis
C047781,lamotrigine,D007172,Erectile Dysfunction
C047781,lamotrigine,D007319,Sleep Initiation and Maintenance Disorders
C047781,lamotrigine,D007565,Jaundice
C047781,lamotrigine,D007859,Learning Disorders
C047781,lamotrigine,D008206,Lymphatic Diseases
C047781,lamotrigine,D008569,Memory Disorders
C047781,lamotrigine,D008582,"Meningitis, Aseptic"
C047781,lamotrigine,D009069,Movement Disorders
C047781,lamotrigine,D009102,Multiple Organ Failure
C047781,lamotrigine,D009207,Myoclonus
C047781,lamotrigine,D009410,Nerve Degeneration
C047781,lamotrigine,D009422,Nervous System Diseases
C047781,lamotrigine,D009437,Neuralgia
C047781,lamotrigine,D010198,Pancytopenia
C047781,lamotrigine,D010302,"Parkinson Disease, Secondary"
C047781,lamotrigine,D011014,Pneumonia
C047781,lamotrigine,D011537,Pruritus
C047781,lamotrigine,D011605,"Psychoses, Substance-Induced"
C047781,lamotrigine,D012206,Rhabdomyolysis
C047781,lamotrigine,D012559,Schizophrenia
C047781,lamotrigine,D012640,Seizures
C047781,lamotrigine,D013226,Status Epilepticus
C047781,lamotrigine,D013262,Stevens-Johnson Syndrome
C047781,lamotrigine,D013375,Substance Withdrawal Syndrome
C047781,lamotrigine,D014202,Tremor
C047781,lamotrigine,D017114,"Liver Failure, Acute"
C047781,lamotrigine,D019964,Mood Disorders
C047781,lamotrigine,D019970,Cocaine-Related Disorders
C047781,lamotrigine,D056486,Chemical and Drug Induced Liver Injury
C047781,lamotrigine,D064420,Drug-Related Side Effects and Adverse Reactions
C051752,nefazodone,D001008,Anxiety Disorders
C051752,nefazodone,D001480,Basal Ganglia Diseases
C051752,nefazodone,D001714,Bipolar Disorder
C051752,nefazodone,D001919,Bradycardia
C051752,nefazodone,D003128,Coma
C051752,nefazodone,D003221,Confusion
C051752,nefazodone,D003865,"Depressive Disorder, Major"
C051752,nefazodone,D003866,Depressive Disorder
C051752,nefazodone,D006261,Headache
C051752,nefazodone,D006331,Heart Diseases
C051752,nefazodone,D006501,Hepatic Encephalopathy
C051752,nefazodone,D006505,Hepatitis
C051752,nefazodone,D007565,Jaundice
C051752,nefazodone,D008107,Liver Diseases
C051752,nefazodone,D009127,Muscle Rigidity
C051752,nefazodone,D009207,Myoclonus
C051752,nefazodone,D009220,Myositis
C051752,nefazodone,D012206,Rhabdomyolysis
C051752,nefazodone,D012735,"Sexual Dysfunction, Physiological"
C051752,nefazodone,D012893,Sleep Wake Disorders
C051752,nefazodone,D014786,Vision Disorders
C051752,nefazodone,D017093,Liver Failure
C051752,nefazodone,D017109,"Akathisia, Drug-Induced"
C051752,nefazodone,D017114,"Liver Failure, Acute"
C051752,nefazodone,D019970,Cocaine-Related Disorders
C051752,nefazodone,D020230,Serotonin Syndrome
C051752,nefazodone,D051437,Renal Insufficiency
C051752,nefazodone,D056486,Chemical and Drug Induced Liver Injury
C052035,trandolapril,D000419,Albuminuria
C052035,trandolapril,D000799,Angioedema
C052035,trandolapril,D003329,Coronary Vasospasm
C052035,trandolapril,D003371,Cough
C052035,trandolapril,D004487,Edema
C052035,trandolapril,D006261,Headache
C052035,trandolapril,D006333,Heart Failure
C052035,trandolapril,D006973,Hypertension
C052035,trandolapril,D008569,Memory Disorders
C052035,trandolapril,D009069,Movement Disorders
C052035,trandolapril,D009203,Myocardial Infarction
C052035,trandolapril,D009325,Nausea
C052035,trandolapril,D011507,Proteinuria
C052035,trandolapril,D013262,Stevens-Johnson Syndrome
C052035,trandolapril,D014717,Vertigo
C052035,trandolapril,D015427,Reperfusion Injury
C052035,trandolapril,D015431,Weight Loss
C052035,trandolapril,D017202,Myocardial Ischemia
C052035,trandolapril,D017379,"Hypertrophy, Left Ventricular"
C052035,trandolapril,D018487,"Ventricular Dysfunction, Left"
C052035,trandolapril,D019636,Neurodegenerative Diseases
C052035,trandolapril,D051437,Renal Insufficiency
C055162,clopidogrel,D000380,Agranulocytosis
C055162,clopidogrel,D000741,"Anemia, Aplastic"
C055162,clopidogrel,D000799,Angioedema
C055162,clopidogrel,D001157,Arterial Occlusive Diseases
C055162,clopidogrel,D001281,Atrial Fibrillation
C055162,clopidogrel,D002318,Cardiovascular Diseases
C055162,clopidogrel,D002543,Cerebral Hemorrhage
C055162,clopidogrel,D002545,Brain Ischemia
C055162,clopidogrel,D002546,"Ischemic Attack, Transient"
C055162,clopidogrel,D002779,Cholestasis
C055162,clopidogrel,D003324,Coronary Artery Disease
C055162,clopidogrel,D003327,Coronary Disease
C055162,clopidogrel,D003328,Coronary Thrombosis
C055162,clopidogrel,D003925,Diabetic Angiopathies
C055162,clopidogrel,D004342,Drug Hypersensitivity
C055162,clopidogrel,D004417,Dyspnea
C055162,clopidogrel,D005076,Exanthema
C055162,clopidogrel,D005334,Fever
C055162,clopidogrel,D006212,Hallucinations
C055162,clopidogrel,D006261,Headache
C055162,clopidogrel,D006463,Hemolytic-Uremic Syndrome
C055162,clopidogrel,D006470,Hemorrhage
C055162,clopidogrel,D006505,Hepatitis
C055162,clopidogrel,D006987,Hypesthesia
C055162,clopidogrel,D007431,Intraoperative Complications
C055162,clopidogrel,D007970,Leukopenia
C055162,clopidogrel,D009203,Myocardial Infarction
C055162,clopidogrel,D009325,Nausea
C055162,clopidogrel,D009336,Necrosis
C055162,clopidogrel,D009362,Neoplasm Metastasis
C055162,clopidogrel,D009503,Neutropenia
C055162,clopidogrel,D011655,Pulmonary Embolism
C055162,clopidogrel,D013262,Stevens-Johnson Syndrome
C055162,clopidogrel,D013345,Subarachnoid Hemorrhage
C055162,clopidogrel,D013575,Syncope
C055162,clopidogrel,D013610,Tachycardia
C055162,clopidogrel,D013921,Thrombocytopenia
C055162,clopidogrel,D013923,Thromboembolism
C055162,clopidogrel,D013927,Thrombosis
C055162,clopidogrel,D014581,Urticaria
C055162,clopidogrel,D014652,Vascular Diseases
C055162,clopidogrel,D014839,Vomiting
C055162,clopidogrel,D015433,"Glomerulonephritis, Membranous"
C055162,clopidogrel,D017202,Myocardial Ischemia
C055162,clopidogrel,D020246,Venous Thrombosis
C055162,clopidogrel,D020300,Intracranial Hemorrhages
C055162,clopidogrel,D020521,Stroke
C055162,clopidogrel,D050197,Atherosclerosis
C055162,clopidogrel,D054058,Acute Coronary Syndrome
C055162,clopidogrel,D056486,Chemical and Drug Induced Liver Injury
C056507,gemcitabine,D000230,Adenocarcinoma
C056507,gemcitabine,D000505,Alopecia
C056507,gemcitabine,D000707,Anaphylaxis
C056507,gemcitabine,D000740,Anemia
C056507,gemcitabine,D000743,"Anemia, Hemolytic"
C056507,gemcitabine,D000855,Anorexia
C056507,gemcitabine,D000860,Hypoxia
C056507,gemcitabine,D001037,Aphasia
C056507,gemcitabine,D001247,Asthenia
C056507,gemcitabine,D001259,Ataxia
C056507,gemcitabine,D001281,Atrial Fibrillation
C056507,gemcitabine,D001282,Atrial Flutter
C056507,gemcitabine,D001342,Autonomic Nervous System Diseases
C056507,gemcitabine,D001749,Urinary Bladder Neoplasms
C056507,gemcitabine,D001766,Blindness
C056507,gemcitabine,D001855,Bone Marrow Diseases
C056507,gemcitabine,D001943,Breast Neoplasms
C056507,gemcitabine,D002037,Bundle-Branch Block
C056507,gemcitabine,D002277,Carcinoma
C056507,gemcitabine,D002289,"Carcinoma, Non-Small-Cell Lung"
C056507,gemcitabine,D002292,"Carcinoma, Renal Cell"
C056507,gemcitabine,D002294,"Carcinoma, Squamous Cell"
C056507,gemcitabine,D002295,"Carcinoma, Transitional Cell"
C056507,gemcitabine,D002583,Uterine Cervical Neoplasms
C056507,gemcitabine,D002637,Chest Pain
C056507,gemcitabine,D003072,Cognition Disorders
C056507,gemcitabine,D003221,Confusion
C056507,gemcitabine,D003680,Deglutition Disorders
C056507,gemcitabine,D003967,Diarrhea
C056507,gemcitabine,D004417,Dyspnea
C056507,gemcitabine,D004487,Edema
C056507,gemcitabine,D004890,Erythema
C056507,gemcitabine,D005076,Exanthema
C056507,gemcitabine,D005221,Fatigue
C056507,gemcitabine,D005334,Fever
C056507,gemcitabine,D005767,Gastrointestinal Diseases
C056507,gemcitabine,D006261,Headache
C056507,gemcitabine,D006331,Heart Diseases
C056507,gemcitabine,D006333,Heart Failure
C056507,gemcitabine,D006402,Hematologic Diseases
C056507,gemcitabine,D006461,Hemolysis
C056507,gemcitabine,D006463,Hemolytic-Uremic Syndrome
C056507,gemcitabine,D006528,"Carcinoma, Hepatocellular"
C056507,gemcitabine,D006689,Hodgkin Disease
C056507,gemcitabine,D006932,Hyperbilirubinemia
C056507,gemcitabine,D006947,Hyperkalemia
C056507,gemcitabine,D006973,Hypertension
C056507,gemcitabine,D007010,Hyponatremia
C056507,gemcitabine,D007022,Hypotension
C056507,gemcitabine,D007511,Ischemia
C056507,gemcitabine,D007674,Kidney Diseases
C056507,gemcitabine,D007970,Leukopenia
C056507,gemcitabine,D008113,Liver Neoplasms
C056507,gemcitabine,D008171,Lung Diseases
C056507,gemcitabine,D008175,Lung Neoplasms
C056507,gemcitabine,D008228,"Lymphoma, Non-Hodgkin"
C056507,gemcitabine,D008654,Mesothelioma
C056507,gemcitabine,D009101,Multiple Myeloma
C056507,gemcitabine,D009135,Muscular Diseases
C056507,gemcitabine,D009203,Myocardial Infarction
C056507,gemcitabine,D009207,Myoclonus
C056507,gemcitabine,D009325,Nausea
C056507,gemcitabine,D009336,Necrosis
C056507,gemcitabine,D009369,Neoplasms
C056507,gemcitabine,D009374,"Neoplasms, Experimental"
C056507,gemcitabine,D009422,Nervous System Diseases
C056507,gemcitabine,D009503,Neutropenia
C056507,gemcitabine,D010051,Ovarian Neoplasms
C056507,gemcitabine,D010146,Pain
C056507,gemcitabine,D010190,Pancreatic Neoplasms
C056507,gemcitabine,D010292,Paresthesia
C056507,gemcitabine,D010490,Pericardial Effusion
C056507,gemcitabine,D010523,Peripheral Nervous System Diseases
C056507,gemcitabine,D011014,Pneumonia
C056507,gemcitabine,D011471,Prostatic Neoplasms
C056507,gemcitabine,D011654,Pulmonary Edema
C056507,gemcitabine,D012128,"Respiratory Distress Syndrome, Adult"
C056507,gemcitabine,D012206,Rhabdomyolysis
C056507,gemcitabine,D012640,Seizures
C056507,gemcitabine,D012770,"Shock, Cardiogenic"
C056507,gemcitabine,D013280,Stomatitis
C056507,gemcitabine,D013617,"Tachycardia, Supraventricular"
C056507,gemcitabine,D013921,Thrombocytopenia
C056507,gemcitabine,D013927,Thrombosis
C056507,gemcitabine,D014511,Uremia
C056507,gemcitabine,D014657,Vasculitis
C056507,gemcitabine,D014786,Vision Disorders
C056507,gemcitabine,D014839,Vomiting
C056507,gemcitabine,D015179,Colorectal Neoplasms
C056507,gemcitabine,D015433,"Glomerulonephritis, Membranous"
C056507,gemcitabine,D015746,Abdominal Pain
C056507,gemcitabine,D016403,"Lymphoma, Large B-Cell, Diffuse"
C056507,gemcitabine,D017093,Liver Failure
C056507,gemcitabine,D020244,"Infarction, Middle Cerebral Artery"
C056507,gemcitabine,D020246,Venous Thrombosis
C056507,gemcitabine,D020258,Neurotoxicity Syndromes
C056507,gemcitabine,D051437,Renal Insufficiency
C056507,gemcitabine,D052016,Mucositis
C056507,gemcitabine,D053609,Lethargy
C056507,gemcitabine,D056784,Leukoencephalopathies
C056507,gemcitabine,D058186,Acute Kidney Injury
C056507,gemcitabine,D064420,Drug-Related Side Effects and Adverse Reactions
C057693,troglitazone,D000138,Acidosis
C057693,troglitazone,D000419,Albuminuria
C057693,troglitazone,D000855,Anorexia
C057693,troglitazone,D002289,"Carcinoma, Non-Small-Cell Lung"
C057693,troglitazone,D002779,Cholestasis
C057693,troglitazone,D002780,"Cholestasis, Intrahepatic"
C057693,troglitazone,D003092,Colitis
C057693,troglitazone,D003110,Colonic Neoplasms
C057693,troglitazone,D003920,Diabetes Mellitus
C057693,troglitazone,D003921,"Diabetes Mellitus, Experimental"
C057693,troglitazone,D003924,"Diabetes Mellitus, Type 2"
C057693,troglitazone,D003925,Diabetic Angiopathies
C057693,troglitazone,D003928,Diabetic Nephropathies
C057693,troglitazone,D004342,Drug Hypersensitivity
C057693,troglitazone,D005234,Fatty Liver
C057693,troglitazone,D005355,Fibrosis
C057693,troglitazone,D005910,Glioma
C057693,troglitazone,D005921,Glomerulonephritis
C057693,troglitazone,D006331,Heart Diseases
C057693,troglitazone,D006501,Hepatic Encephalopathy
C057693,troglitazone,D006505,Hepatitis
C057693,troglitazone,D006528,"Carcinoma, Hepatocellular"
C057693,troglitazone,D006932,Hyperbilirubinemia
C057693,troglitazone,D006943,Hyperglycemia
C057693,troglitazone,D006946,Hyperinsulinism
C057693,troglitazone,D006949,Hyperlipidemias
C057693,troglitazone,D006965,Hyperplasia
C057693,troglitazone,D006973,Hypertension
C057693,troglitazone,D007249,Inflammation
C057693,troglitazone,D007333,Insulin Resistance
C057693,troglitazone,D007511,Ischemia
C057693,troglitazone,D007565,Jaundice
C057693,troglitazone,D008103,Liver Cirrhosis
C057693,troglitazone,D008113,Liver Neoplasms
C057693,troglitazone,D008114,"Liver Neoplasms, Experimental"
C057693,troglitazone,D008175,Lung Neoplasms
C057693,troglitazone,D008325,"Mammary Neoplasms, Experimental"
C057693,troglitazone,D009220,Myositis
C057693,troglitazone,D009336,Necrosis
C057693,troglitazone,D009361,Neoplasm Invasiveness
C057693,troglitazone,D009389,"Neovascularization, Pathologic"
C057693,troglitazone,D010190,Pancreatic Neoplasms
C057693,troglitazone,D011230,Precancerous Conditions
C057693,troglitazone,D011507,Proteinuria
C057693,troglitazone,D011537,Pruritus
C057693,troglitazone,D011565,Psoriasis
C057693,troglitazone,D011658,Pulmonary Fibrosis
C057693,troglitazone,D012878,Skin Neoplasms
C057693,troglitazone,D013274,Stomach Neoplasms
C057693,troglitazone,D013964,Thyroid Neoplasms
C057693,troglitazone,D015228,Hypertriglyceridemia
C057693,troglitazone,D015427,Reperfusion Injury
C057693,troglitazone,D015430,Weight Gain
C057693,troglitazone,D015470,"Leukemia, Myeloid, Acute"
C057693,troglitazone,D017093,Liver Failure
C057693,troglitazone,D017114,"Liver Failure, Acute"
C057693,troglitazone,D020258,Neurotoxicity Syndromes
C057693,troglitazone,D047508,Massive Hepatic Necrosis
C057693,troglitazone,D050197,Atherosclerosis
C057693,troglitazone,D051437,Renal Insufficiency
C057693,troglitazone,D054198,Precursor Cell Lymphoblastic Leukemia-Lymphoma
C057693,troglitazone,D056486,Chemical and Drug Induced Liver Injury
C057693,troglitazone,D064420,Drug-Related Side Effects and Adverse Reactions
C060836,pioglitazone,D000419,Albuminuria
C060836,pioglitazone,D001321,Autistic Disorder
C060836,pioglitazone,D001523,Mental Disorders
C060836,pioglitazone,D001749,Urinary Bladder Neoplasms
C060836,pioglitazone,D001930,Brain Injuries
C060836,pioglitazone,D002277,Carcinoma
C060836,pioglitazone,D002780,"Cholestasis, Intrahepatic"
C060836,pioglitazone,D003072,Cognition Disorders
C060836,pioglitazone,D003110,Colonic Neoplasms
C060836,pioglitazone,D003550,Cystic Fibrosis
