disease_id,name,alias
C535933,"Cholestasis, progressive familial intrahepatic 1","BRIC1#Byler disease#Byler's disease#Cholestasis, benign recurrent intrahepatic 1#Cholestasis, Benign Recurrent Intrahepatic, 1#Cholestasis, fatal intrahepatic#Cholestasis, Progressive Familial Intrahepatic, 1#FIC1 deficiency#PFIC1#Progressive familial intrahepatic cholestasis#Progressive familial intrahepatic cholestasis type 1 (PFIC 1)#Progressive familial intrahepatic cholestasis type 1 (PFIC1)#Summerskill syndrome"
C535944,"Desmoid disease, hereditary","Desmoid Tumor Caused By Somatic Mutation#Familial infiltrative fibromatosis#Fibromatosis, familial infiltrative#FIBROMATOSIS, FAMILIAL INFILTRATIVE;FIF  DESMOID TUMOR CAUSED BY SOMATIC MUTATION, INCLUDED"
C535953,Eosinophilic pustular folliculitis,"Eosinophilic folliculitis, pustular#Ofuji disease#Ofuji's disease"
C536004,Familial apoceruloplasmin deficiency,"Aceruloplasminemia#Ceruloplasmin deficiency#CERULOPLASMIN DEFICIENCY, INCLUDED#HEMOSIDEROSIS, SYSTEMIC, DUE TO ACERULOPLASMINEMIA, INCLUDED#Hereditary hypoceruloplasminemia#Hypoceruloplasminemia#HYPOCERULOPLASMINEMIA, INCLUDED"
C536010,Achalasia microcephaly,Achalasia microcephaly syndrome#Achalasia-Microcephaly Syndrome
C536063,Osteoporosis-pseudoglioma syndrome,"OPPG#OPS#Osteogenesis imperfecta, ocular form#Pseudoglioma with bone fragility"
C536082,"Hypercalciuria, childhood idiopathic",
C536096,Myoclonic dystonia,"Alcohol-Responsive Dystonia#Dystonia 11#DYSTONIA 11, MYOCLONIC#DYSTONIA 26, MYOCLONIC#Dystonia, Alcohol-Responsive#DYT11#DYT26#Hereditary essential myoclonus#MYOCLONIC DYSTONIA#Myoclonus-Dystonia#Myoclonus-dystonia syndrome#Myoclonus, hereditary essential"
C536226,Cutis marmorata telangiectatica congenita,
C536312,Juvenile pauciarticular chronic arthritis,
C536334,Polymorphic catecholergic ventricular tachycardia,"Bidirectional Tachycardia Induced By Catecholamines#Catecholamine-induced polymorphic ventricular tachycardia#Catecholaminergic polymorphic ventricular tachycardia#Cpvt2#CPVT3#CPVT4#Familial polymorphic ventricular tachycardia#Stress-induced polymorphic ventricular tachycardia#Ventricular Tachycardia, Catecholaminergic Polymorphic, 1#Ventricular Tachycardia, Catecholaminergic Polymorphic, 2#VENTRICULAR TACHYCARDIA, CATECHOLAMINERGIC POLYMORPHIC, 3#VENTRICULAR TACHYCARDIA, CATECHOLAMINERGIC POLYMORPHIC, 4#Ventricular Tachycardia, Familial#Ventricular Tachycardia, Familial Polymorphic#VENTRICULAR TACHYCARDIA, STRESS-INDUCED POLYMORPHIC#VTSIP"
C536353,VLCAD deficiency,"Acadvl#ACADVLD#Acyl-Coa Dehydrogenase Very Long Chain Deficiency#Acyl-CoA Dehydrogenase, Very Long-Chain, Deficiency of#Pearson Marrow-Pancreas Syndrome#Pearson's marrow-pancreas syndrome#Sideroblastic anemia with marrow cell vacuolization and exocrine pancreatic dysfunction#Very long-chain acyl-CoA dehydrogenase deficiency#Very Long-Chain Acyl Coenzyme A Dehydrogenase Deficiency#Very Long-Chain Acyl-Coenzyme A Dehydrogenase Deficiency#Vlcad-C#VLCAD DEFICIENCY#Vlcad-H"
C536357,"Anemia, hypochromic microcytic",
C536380,Evans Syndrome,Autoimmune hemolytic anemia and autoimmune thrombocytopenia#Evans' Syndrome
C536392,"Factor 8 deficiency, acquired","Factor VIII deficiency, acquired#Hemophilia A, acquired"
C536404,"Nephrotic syndrome, idiopathic, steroid-resistant","Nephrotic syndrome, steroid-resistant, autosomal recessive#NEPHROTIC SYNDROME, TYPE 2#NPHS2#SRN1"
C536421,Prinzmetal's variant angina,
C536495,VACTERL association,VACTEL Association#VACTERL Syndrome#Vertebral Anal Tracheoesophageal Esophageal Radial anomalies
C536522,Vacuolar myopathy,"Autophagic vacuolar myopathy#Myopathy, Autophagic Vacuolar, Infantile-Onset"
C536525,Valproic acid antenatal infection,"Dalpro, Fetal Effects From#Epival, Fetal Effects From#Fetal valproate syndrome#Fetal valproic syndrome#Valproic acid embryopathy"
C536572,Bone Marrow failure syndromes,BMFS1#BMFS2#BMFS3#Bone marrow failure syndrome 1#Bone marrow failure syndrome 2#BONE MARROW FAILURE SYNDROME 3
C536683,Warfarin syndrome,Congenital warfarin syndrome#Coumarin syndrome#DiSala syndrome#Fetal anticoagulant syndrome#Warfarin embryopathy
C536694,Westphal disease,
C536777,Systemic candidiasis,
C536778,Systemic carnitine deficiency,"Carnitine deficiency, primary#Carnitine deficiency, systemic, due to defect in renal reabsorption of carnitine#Carnitine deficiency, systemic primary#Carnitine Transporter Deficiency#Carnitine transporter, plasma-membrane, deficiency of#Carnitine uptake defect#Carnitine Uptake Deficiency#CDSP#CUD#Primary Carnitine Deficiency#Renal Carnitine Transport Defect#SCD#SYSTEMIC CARNITINE DEFICIENCY"
C536779,Systemic necrotizing angiitis,
C536783,T-Lymphocytopenia,
C536797,"Chromosome 22, microdeletion 22 q11",
C536855,Fanconi like syndrome,
C536875,Arrest of spermatogenesis,Azoospermia Due To Perturbations Of Meiosis#Azoospermia With Maturation Arrest#Spermatogenesis arrest#Spermatogenic failure 4#SPGF4
C536884,Kleeblattschaedel syndrome,Cloverleaf skull syndrome#Kleeblattschaedel-deformity syndrome
C536901,"Thrombotic thrombocytopenic purpura, acquired",Idiopathic thrombotic thrombocytopenic purpura#Moschowitz syndrome
C536914,"Thyroid cancer, medullary","Medullary thyroid cancer (MTC)#Thyroid carcinoma, medullary"
C536915,"Thyroid cancer, papillary","Familial Nonmedullary Thyroid Cancer#FAMILIAL NONMEDULLARY THYROID CANCER, PAPILLARY#NMTC1#Nonmedullary Thyroid Carcinoma#NONMEDULLARY THYROID CARCINOMA, PAPILLARY#PACT#Papillary Carcinoma Of Thyroid#Papillary thyroid carcinoma#PTC#THYROID CANCER, NONMEDULLARY, 1#Thyroid carcinoma, papillary#TPC"
C536957,Temporomandibular ankylosis,
C536961,Familial Testotoxicosis,"Familial Gonadotrophin-Independent Sexual Precocity#Familial Male-Limited Precocious Puberty#Gonadotrophin-Independent Precocious Puberty#Precocious Pseudopuberty#PRECOCIOUS PUBERTY, MALE-LIMITED#Sexual precocity, familial, gonadotropin-independent#Testotoxicosis, Familial#TESTOTOXICOSIS, FAMILIAL LEYDIG CELL ADENOMA, SOMATIC, WITH MALE-LIMITED PRECOCIOUS PUBERTY, INCLUDED"
C537030,Lipomyelomeningocele,
C537072,Nonpuerperal galactorrhea,"Ahumada-Del Castillo syndrome#Amenorrhea-Galactorrhea-FSH Decrease Syndrome#Amenorrhea-galactorrhea, nonpuerperal#Amenorrhea-Galactorrhea Syndrome#Argonz-Ahumada-Del Castillo syndrome#Argonz-Del Castillo Syndrome#Forbes Albright syndrome#Galactorrhea-amenorrhea syndrome#Galactorrhea-Amenorrhea without Pregnancy#Nonpuerperal Galactorrhea-Amenorrhea"
C537095,Brachydactyly with hypertension,"Bilginturan syndrome#Brachydactyly type E with short stature and hypertension#Brachydactyly, Type E, With Short Stature And Hypertension#BRACHYDACTYLY WITH HYPERTENSION#HTNB#HYPERTENSION AND BRACHYDACTYLY SYNDROME#Hypertension With Brachydactyly"
C537150,"Hypoglycemia, leucine-induced",Leucine-sensitive hypoglycemia of infancy#LIH
C537152,"Hypomagnesemia 2, renal","HOMG2#Magnesium loss, isolated renal#Magnesium wasting, renal"
C537153,Hypomagnesemia primary,"HOMG3#Hypomagnesemia 3, Renal#Hypomagnesemia, familial, with hypercalciuria and nephrocalcinosis#HYPOMAGNESEMIA, FAMILIAL, WITH HYPERCALCIURIA AND NEPHROCALCINOSIS  HYPERCALCIURIA, CHILDHOOD, SELF-LIMITING, INCLUDED#Hypomagnesemia, isolated renal#Hypomagnesemia, Primary, Due To Defect In Renal Tubular Transport Of Magnesium#Magnesium, defect in renal tubular transport of"
C537156,Hypoparathyroidism familial isolated,"FIH#HYPOPARATHYROIDISM, AUTOSOMAL DOMINANT  HYPOPARATHYROIDISM, AUTOSOMAL RECESSIVE, INCLUDED#Hypoparathyroidism, Familial Isolated"
C537181,Paroxysmal nonkinesigenic dyskinesia,"Choreoathetosis familial paroxysmal#Choreoathetosis, Familial Paroxysmal#Choreoathetosis, Nonkinesigenic#Dystonia 8#DYT8#Familial paroxysmal choreoathetosis#Familial Paroxysmal Nonkinesigenic Dyskinesia#FPD1#Mount-Reback syndrome#Nonkinesigenic choreoathetosis#Paroxysmal dystonic choreoathetosis#Paroxysmal Nonkinesigenic Dyskinesia 1#PDC#PNKD1"
C537221,Sacral defect and anterior sacral meningocele,"Agenesis of sacrum#Caudal Dysgenesis Syndrome#CAUDAL REGRESSION SYNDROME, INCLUDED#Hypoplasia of sacrum#Lumbosacral agenesis#Sacral agenesis#SACRAL AGENESIS, INCLUDED#Sacral defect anterior meningocele#Sacral Defect with Anterior Meningocele#SDAM CAUDAL DYSGENESIS SYNDROME, INCLUDED#SIRENOMELIA, INCLUDED"
C537268,Formaldehyde poisoning,Formaldehyde Exposure#Formaldehyde Toxicity#Formalin Intoxication#Formalin Toxicity
C537296,Granulosa cell tumor of the ovary,Adult granulosa cell tumor of the ovary#GCT of the ovary#Granulosa theca cell tumor#Granulosa theca cell tumor of the ovary
C537345,Sitosterolemia,"Macrothrombocytopenia-Stomatocytosis, Mediterranean#Phytosterolemia#PHYTOSTEROLEMIA MACROTHROMBOCYTOPENIA/STOMATOCYTOSIS, MEDITERRANEAN, INCLUDED#Plant sterol storage disease#Pseudohomozygous familial hypercholesterolemia#STSL"
C537372,Multi-centric Castleman's Disease,HHV-8-Associated Multicentric Castleman Disease#HHV8 Multicentric Castleman Disease#Idiopathic multicentric Castleman's disease#KSHV-Associated Multicentric Castleman Disease#KSHV Muticentric Castleman Disease#Multicentric Castleman's disease#Multicentric plasma cell variant of Castleman's disease#Plasmablastic multicentric Castleman disease
C537417,Butyrylcholinesterase deficiency,"Acylcholine acylhydrolase deficiency#Apnea, Postanesthetic#Cholinesterase 2 Deficiency#Pseudocholinesterase deficiency#Pseudocholinesterase E1 deficiency#Succinylcholine Sensitivity#Suxamethonium Sensitivity"
C537422,Apparent mineralocorticoid excess,AME#AME1#Cortisol 11-beta-ketoreductase deficiency
C537476,Mitochondrial myopathy with lactic acidosis,
C537480,Miyoshi myopathy,"Miyoshi distal myopathy#Miyoshi Muscular Dystrophy 1#MIYOSHI MYOPATHY#Mmd1#Muscular dystrophy, distal, late onset, autosomal recessive#Muscular Dystrophy, Distal, Late-Onset, Autosomal Recessive"
C537537,"Segawa syndrome, autosomal recessive","Autosomal Recessive Infantile Parkinsonism#Dopa-Responsive Dystonia, Autosomal Recessive#DOPA responsive dystonia, autosomal recessive#Dystonia, Dopa-Responsive, Autosomal Recessive#Dystonia, DOPA responsive, autosomal recessive#Dystonia, Dopa-Responsive, With Or Without Hyperphenylalaninemia, Autosomal Recessive#Parkinsonism, infantile, autosomal recessive#Th-Deficient Drd#Tyrosine Hydroxylase Deficiency"
C537630,Birdshot chorioretinopathy,
C537658,"Basal ganglia disease, biotin-responsive","BASAL GANGLIA DISEASE, BIOTIN-RESPONSIVE#BBGD#Biotin-responsive basal ganglia disease#BTBGD#ENCEPHALOPATHY, THIAMINE-RESPONSIVE#THIAMINE METABOLISM DYSFUNCTION SYNDROME 2 (BIOTIN- OR THIAMINE-RESPONSIVE TYPE)#THMD2"
C537700,Juvenile osteoporosis,"Childhood-Onset Primary Osteoporosis#Idiopathic juvenile osteoporosis#Juvenile Primary Osteoporosis#Osteoporosis, juvenile"
C537748,Omphalocele exstrophy imperforate anus,"OEIS complex#Omphalocele-Exstrophy-Imperforate Anus-Spinal Defects#Omphalocele, exstrophy of the cloaca, imperforate anus, and spinal defects"
C537757,Renal hypouricemia,"Dalmatian hypouricemia#Hypouricemia, renal#Hypouricemia, Renal, 1#RENAL HYPOURICEMIA#RHUC1"
C537814,"Chromosome 7, monosomy",
C537844,Nonseminomatous germ cell tumor,
C537884,Peters anomaly,ANTERIOR SEGMENT DYSGENESIS 5#ASGD5
C537922,Fetal hydantoin syndrome,Dilantin Embryopathy#Phenytoin Embryopathy
C537948,"Ceroid lipofuscinosis, neuronal 1, infantile","Infantile neuronal ceroid lipofuscinosis (INCL)#Neuronal ceroid lipofuscinosis, infantile Finnish type#Santavuori disease"
C537968,Camptocormia,Bent spine#Bent Spine Syndrome#Camptocormism
C537996,Dysgnathia complex,Agnathia-holoprosencephaly#AGNATHIA-OTOCEPHALY COMPLEX#AGOTC#DYSGNATHIA COMPLEX AGNATHIA-HOLOPROSENCEPHALY#Holoprosencephaly-agnathia#OTOCEPHALY
C538007,"Dystonia, Dopa-responsive","Dopa-Responsive Dystonia#Dopa-responsive dystonia, autosomal dominant#DRD#Dystonia 5#Dystonia, Dopa-responsive, autosomal dominant#Dystonia-Parkinsonism with diurnal fluctuation#Dystonia, progressive, with diurnal variation#DYT5#Hereditary Progressive Dystonia with Marked Diurnal Fluctuation#Segawa syndrome, autosomal dominant"
C538011,Eales disease,Idiopathic obliterative vasculopathy#Idiopathic recurrent vitreal hemorrhage
C538045,Chromosome 17 deletion,17p- Syndrome#Chromosome 17p Deletion Syndrome#Deletion 17p Syndrome#Interstitial deletion 17p#Partial Monosomy 17p
C538090,Ovarian epithelial cancer,"Epithelial ovarian cancer#Ovarian cancer, epithelial"
C538117,Human Herpesvirus 6 encephalitis,
C538169,Acitretin embryopathy,
C538173,Acquired angioedema,
C538175,Acquired ichthyosis,"Fish scale disease, acquired#Ichthyosis acquisita"
C538178,Acrodermatitis enteropathica,"Acrodermatitis enteropathica zinc deficiency type#Acrodermatitis Enteropathica, Zinc-Deficiency Type#AEZ"
C538231,Adenocarcinoma of lung,
C538250,Amyopathic dermatomyositis,
C538260,Atresia of small intestine,Congenital atresia of the small intestine#Small intestine atresia
C538263,Atrial septal defect 2,
C538268,Auditory neuropathy,Auditory dys-synchrony#Familial auditory neuropathy#Progressive auditory neuropathy
C538339,Nasopharyngeal carcinoma,"NASOPHARYNGEAL CANCER NASOPHARYNGEAL CARCINOMA, SUSCEPTIBILITY TO, 1, INCLUDED#NASOPHARYNGEAL CARCINOMA, SUSCEPTIBILITY TO, 2#NASOPHARYNGEAL CARCINOMA, SUSCEPTIBILITY TO, 3#NPC#NPCA#NPCA1, INCLUDED#NPCA2#NPCA3"
C538370,Retroperitoneal liposarcoma,Giant pelvic retroperitoneal liposarcoma#Pelvic retroperitoneal liposarcoma
C538421,Neurodegeneration with brain iron accumulation (NBIA),
C538446,Speech disturbance - use of faulty phrasing and unrelated words,
C538458,Rapidly progressive glomerulonephritis with pulmonary hemorrhage,Anti-glomerular basement membrane antibody disease#Glomerulonephritis - pulmonary hemorrhage#Pulmonary renal syndrome
C538481,Acquired CJD,
C538499,,
C538525,Mitochondrial encephalopathy,
C538542,Sexual precocity,"Familial precocious puberty#Idiopathic sexual precocity#Precocious puberty, male limited#Precocious Puberty, Male-Limited#Pubertas Praecox#Testotoxicosis"
C538543,Preeclamptic toxemia,
C538556,Imerslund-Grasbeck syndrome,"Enterocyte cobalamin malabsorption#Enterocyte intrinsic factor receptor, defect of#Megaloblastic Anemia 1"
C538646,"High serum cholesterol, familial","Hyperlipidema, Familial#Hyperlipoproteinemia, type 2 A"
C540770,Mitochondrial cytopathy,
C548006,,
C554498,AIDS-related Kaposi sarcoma,
C562386,,
C562477,Halothane Hepatitis,
C562565,Uterine Anomalies,
C562573,Cyclopia,Demyer Sequence#Holoprosencephaly 1
C562581,"Hypercalcemia, Idiopathic, of Infancy",
C562707,"ACTH Deficiency, Isolated",ADRENOCORTICOTROPIC HORMONE DEFICIENCY#IAD
C562729,Esophageal Squamous Cell Carcinoma,
C562839,"Mesothelioma, Malignant",
C562942,"Aortic Valve, Calcification of",
C563161,Hypertensive Nephropathy,
C563515,"Neutrophil Chemotactic Response, Abnormal","Leukocyte Motility, Abnormal#NCR#NEUTROPHIL CHEMOTACTIC RESPONSE#NEUTROPHIL MIGRATION#Neutrophil Migration, Abnormal#Neutrophil Motility, Abnormal#NM"
C564013,"Deafness, Aminoglycoside-Induced","Deafness, Streptomycin-Induced#Streptomycin Ototoxicity"
C564616,Spinocerebellar Ataxia 17,HDL4#Huntington Disease-Like 4#SCA17
C564945,"Neuropathy, Painful",
C565662,Acth-Independent Macronodular Adrenal Hyperplasia,"Acth-Independent Cushing Syndrome#ACTH-INDEPENDENT MACRONODULAR ADRENAL HYPERPLASIA 2#Acth-Independent Macronodular Adrenocortical Hyperplasia#Adrenocorticotropic Hormone-Independent Macronodular Adrenal Hyperplasia#Aimah#AIMAH1#AIMAH2#Corticotropin-Independent Macronodular Adrenal Hyperplasia#Cushing Syndrome, Adrenal, Due To Aimah#PRIMARY MACRONODULAR ADRENAL HYPERPLASIA"
C566627,"Ceroid Lipofuscinosis, Neuronal, 6","Ceroid Lipofuscinosis, Neuronal, 6, Variable Age At Onset#CEROID LIPOFUSCINOSIS, NEURONAL, 6, VARIABLE AGE AT ONSET  NEURONAL CEROID LIPOFUSCINOSIS, LATE INFANTILE, VARIANT, INCLUDED#CLN6#Neuronal Ceroid Lipofuscinosis, Late Infantile, Variant#vLINCL, INCLUDED"
C567144,"Anemia, Hypochromic Microcytic, With Iron Overload","AHMIO1#AHMIO2#ANEMIA, HYPOCHROMIC MICROCYTIC, WITH IRON OVERLOAD 1#ANEMIA, HYPOCHROMIC MICROCYTIC, WITH IRON OVERLOAD 2"
C572845,"Thyroid cancer, follicular","NMTC2#THYROID CANCER, NONMEDULLARY, 2"
C574275,Ectrodactyly,ECD#ECTRODACTYLY#SHFD1#SHFM1#SHSF1#Split-hand deformity#Split hand foot deformity 1#Split-Hand-Foot Deformity 1#SPLIT-HAND/FOOT DEFORMITY 1#Split hand foot malformation 1#Split-Hand-Foot Malformation 1#SPLIT-HAND/FOOT MALFORMATION 1#SPLIT-HAND/FOOT MALFORMATION 1 WITH OR WITHOUT DEAFNESS
D000006,"Abdomen, Acute","Abdomens, Acute#Acute Abdomen#Acute Abdomens"
D000007,Abdominal Injuries,"Abdominal Injury#Injuries, Abdominal#Injury, Abdominal"
D000008,Abdominal Neoplasms,"Abdominal Neoplasm#Neoplasm, Abdominal#Neoplasms, Abdominal"
D000013,Congenital Abnormalities,"Abnormalities, Congenital#Abnormality, Congenital#Birth Defect#Birth Defects#Congenital Abnormality#Congenital Defect#Congenital Defects#Defect, Birth#Defect, Congenital#Defects, Birth#Defects, Congenital#Deformities#Deformity"
D000014,"Abnormalities, Drug-Induced","Abnormalities, Drug Induced#Abnormality, Drug-Induced#Drug Induced Abnormalities#Drug-Induced Abnormalities#Drug-Induced Abnormality"
D000015,"Abnormalities, Multiple",
D000022,"Abortion, Spontaneous","Abortions, Spontaneous#Abortions, Tubal#Abortion, Tubal#Early Pregnancy Loss#Early Pregnancy Losses#Miscarriage#Miscarriages#Pregnancy Loss, Early#Pregnancy Losses, Early#Spontaneous Abortion#Spontaneous Abortions#Tubal Abortion#Tubal Abortions"
D000026,"Abortion, Habitual","Abortion, Recurrent#Habitual Abortion#Habitual Abortions#Miscarriage, Recurrent#Recurrent Abortion#Recurrent Abortions#Recurrent Early Pregnancy Loss#Recurrent Miscarriage#Recurrent Miscarriages"
D000033,"Abortion, Threatened","Miscarriage, Threatened#Threatened Abortion#Threatened Abortions#Threatened Miscarriage#Threatened Miscarriages"
D000034,"Abortion, Veterinary","Abortions, Veterinary#Veterinary Abortion#Veterinary Abortions"
D000037,Abruptio Placentae,"Abruption, Placental#Abruptions, Placental#Placental Abruption#Placental Abruptions"
D000038,Abscess,
D000051,Acantholysis,
D000067877,Autism Spectrum Disorder,"Autism Spectrum Disorders#Spectrum Disorders, Autism"
D000068079,Motor Disorders,
D000126,Achlorhydria,Achylia Gastrica#Hypochlorhydria
D000137,Acid-Base Imbalance,"Acid Base Imbalance#Acid-Base Imbalances#Imbalance, Acid-Base#Imbalances, Acid-Base"
D000138,Acidosis,"Acidoses#Acidoses, Metabolic#Acidosis, Metabolic#Metabolic Acidoses#Metabolic Acidosis"
D000140,"Acidosis, Lactic",
D000141,"Acidosis, Renal Tubular","Acidosis, Renal Tubular, Type I#Acidosis, Renal Tubular, Type II#Autosomal Dominant Distal Renal Tubular Acidosis#Classic Distal Renal Tubular Acidosis#Classic Type RTA#Classic Type RTAs#Distal Renal Tubular Acidosis#Gradient Type RTA#Gradient Type RTAs#Proximal Renal Tubular Acidosis#Proximal Type RTA#Proximal Type RTAs#Renal Tubular Acidosis#Renal Tubular Acidosis 1#Renal Tubular Acidosis, Distal, Autosomal Dominant#Renal Tubular Acidosis I#Renal Tubular Acidosis II#Renal Tubular Acidosis, Proximal#Renal Tubular Acidosis, Proximal, with Ocular Abnormalities#Renal Tubular Acidosis, Type I#Renal Tubular Acidosis, Type II#RTA, Classic Type#RTA, Distal Type, Autosomal Dominant#RTA, Gradient Type#RTA, Proximal Type#RTAs, Classic Type#RTAs, Gradient Type#RTAs, Proximal Type#Type II Renal Tubular Acidosis#Type I Renal Tubular Acidosis"
D000142,"Acidosis, Respiratory","Acidoses, Respiratory#Respiratory Acidoses#Respiratory Acidosis"
D000151,Acinetobacter Infections,"Acinetobacter Infection#Infection, Acinetobacter#Infection, Mimae#Infections, Acinetobacter#Infections, Mimae#Mimae Infection#Mimae Infections"
D000152,Acne Vulgaris,
D000160,Vestibulocochlear Nerve Diseases,"Acoustic Nerve Disease#Acoustic Nerve Diseases#Acoustic Nerve Disorder#Acoustic Nerve Disorders#Cochlear Nerve Disease#Cochlear Nerve Diseases#Cochlear Nerve Disorder#Cochlear Nerve Disorders#Cochlear Neuritides#Cochlear Neuritis#Cranial Nerve VIII Diseases#Cranial Nerve VIII Disorders#Eighth Cranial Nerve Diseases#Neuritides, Cochlear#Neuritis, Cochlear#Vestibular Nerve Disease#Vestibular Nerve Diseases#Vestibular Nerve Disorder#Vestibular Nerve Disorders#Vestibulocochlear Nerve Disease"
